111,17.273,0.216,16.692,0.068,15.97,0.032,15.173,0.029
113,17.603,0.131,16.535,0.061,16.06,0.034,15.131,0.034
115,17.201,0.083,16.785,0.049,15.906,0.021,15.1,0.024
125,16.974,0.052,16.695,0.048,16.031,0.03,15.216,0.027
131,17.439,0.13,16.915,0.056,16.073,0.029,15.196,0.025
134,17.342,0.261,16.869,0.071,16.194,0.045,15.289,0.032
137,17.005,0.078,16.971,0.096,16.163,0.038,15.323,0.037
140,17.223,0.128,17.017,0.074,16.278,0.047,15.429,0.046
155,-,-,16.924,0.045,16.141,0.022,-,-
158,-,-,16.816,0.045,16.14,0.024,-,-
